SeqNum,Time,Description,Operator,EntryLocation,ExitLocation,Product,RemRides,Change,Balance
8,1/4/16 8:38,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,10.00 ,14.35 
9,1/4/16 8:39,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,29.35 
10,1/4/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,29.35 
11,1/4/16 9:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),26.30 
12,1/4/16 16:44,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,26.30 
13,1/4/16 16:56,Exit,Metrorail,L'Enfant Plza N,Farragut N NW,StoredValue FF,,(2.15),24.15 
14,1/4/16 17:25,Entry,Metrorail,Farragut N NW,,StoredValue FF,,0.00 ,24.15 
15,1/4/16 17:37,Exit,Metrorail,Farragut N NW,Tenleytown-AU,StoredValue FF,,(2.45),21.70 
0,1/5/16 8:50,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,21.70 
1,1/5/16 9:12,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),18.65 
2,1/5/16 17:49,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,18.65 
3,1/5/16 18:14,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),15.60 
4,1/6/16 8:52,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,15.60 
5,1/6/16 9:27,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),12.55 
6,1/6/16 17:23,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,12.55 
7,1/6/16 17:44,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),9.50 
8,1/7/16 8:48,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,9.50 
9,1/7/16 9:18,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),6.45 
10,1/7/16 18:01,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,6.45 
11,1/7/16 18:25,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),3.40 
12,1/8/16 8:28,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.40 
13,1/8/16 8:51,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),0.35 
14,1/8/16 14:26,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,25.35 
0,1/8/16 14:50,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,(2.35),23.00 
15,1/8/16 14:26,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,25.35 
0,1/11/16 8:32,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,23.00 
1,1/11/16 8:32,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,23.00 
2,1/11/16 8:56,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),19.95 
3,1/11/16 17:40,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,19.95 
4,1/11/16 17:55,Exit,Metrorail,L'Enfant Plza N,Farragut N NW,StoredValue FF,,(2.15),17.80 
5,1/11/16 18:38,Entry,Metrorail,Farragut N NW,,StoredValue FF,,0.00 ,17.80 
6,1/11/16 18:49,Exit,Metrorail,Farragut N NW,Tenleytown-AU,StoredValue FF,,(2.45),15.35 
7,1/12/16 8:41,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,15.35 
8,1/12/16 9:04,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),12.30 
9,1/12/16 17:27,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,12.30 
10,1/12/16 17:50,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),9.25 
11,1/13/16 8:22,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,9.25 
12,1/13/16 8:47,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),6.20 
13,1/13/16 17:53,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,6.20 
14,1/13/16 18:17,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),3.15 
0,1/14/16 9:12,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),0.10 
1,1/14/16 9:13,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,25.10 
15,1/14/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.15 
2,1/14/16 17:46,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,25.10 
3,1/14/16 17:57,Exit,Metrorail,L'Enfant Plza N,McPherson Sq W,StoredValue FF,,(2.15),22.95 
4,1/14/16 20:41,Entry,Metrorail,Farragut N SE,,StoredValue FF,,0.00 ,22.95 
5,1/14/16 21:02,Exit,Metrorail,Farragut N SE,Tenleytown-AU,StoredValue FF,,(2.00),20.95 
6,1/15/16 8:27,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,20.95 
7,1/15/16 8:47,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),17.90 
8,1/15/16 16:06,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,17.90 
9,1/15/16 16:12,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,(2.15),15.75 
10,1/15/16 17:54,Entry,Metrorail,Gal Pl-Chntwn N,,StoredValue FF,,0.00 ,15.75 
11,1/15/16 18:14,Exit,Metrorail,Gal Pl-Chntwn N,Tenleytown-AU,StoredValue FF,,(2.80),12.95 
11,1/19/16 8:03,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.95 
12,1/19/16 8:03,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.95 
13,1/19/16 8:38,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),9.90 
14,1/19/16 15:41,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,9.90 
15,1/19/16 16:12,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),7.05 
0,1/19/16 19:02,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,7.05 
1,1/19/16 19:36,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,(2.75),4.30 
2,1/20/16 8:10,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,4.30 
3,1/20/16 8:48,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),1.25 
4,1/20/16 8:49,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,26.25 
5,1/20/16 18:14,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,26.25 
6,1/20/16 18:38,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),23.40 
7,1/20/16 21:55,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,23.40 
8,1/20/16 22:43,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,(2.75),20.65 
9,1/21/16 8:21,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,20.65 
10,1/21/16 8:46,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),17.60 
11,1/21/16 18:29,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,17.60 
12,1/21/16 18:55,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),14.55 
13,1/26/16 8:48,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,14.55 
14,1/26/16 9:21,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),11.50 
0,1/26/16 16:40,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,(3.05),8.45 
15,1/26/16 16:18,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,11.50 
1,1/27/16 8:05,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,8.45 
2,1/27/16 8:38,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),5.40 
3,1/27/16 18:20,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,5.40 
4,1/27/16 18:42,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),2.55 
5,1/27/16 21:26,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,2.55 
6,1/27/16 21:57,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,(2.75),(0.20)
7,1/27/16 21:58,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,24.80 
8,1/28/16 7:53,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,24.80 
9,1/28/16 8:27,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),21.75 
10,1/28/16 18:27,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,21.75 
11,1/28/16 18:42,Exit,Metrorail,L'Enfant Plza N,Dupont Circle S,StoredValue FF,,(2.15),19.60 
12,1/28/16 20:44,Entry,Metrorail,Dupont Circle S,,StoredValue FF,,0.00 ,19.60 
13,1/28/16 21:06,Exit,Metrorail,Dupont Circle S,Tenleytown-AU,StoredValue FF,,(1.85),17.75 
14,1/29/16 7:55,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,17.75 
15,1/29/16 8:22,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),14.70 
0,1/29/16 13:39,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,14.70 
1,1/29/16 13:57,Exit,Metrorail,L'Enfant Plza N,Union Stn N,StoredValue FF,,(1.75),12.95 
2,2/1/16 7:32,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.95 
3,2/1/16 7:55,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),9.90 
4,2/2/16 19:17,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,9.90 
5,2/2/16 19:50,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,(2.75),7.15 
5,2/3/16 18:47,Sale,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,7.15 
6,2/4/16 8:36,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,7.15 
7,2/4/16 9:07,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),4.10 
8,2/4/16 19:10,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,4.10 
9,2/4/16 19:27,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(2.35),1.75 
10,2/4/16 19:27,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,26.75 
11,2/5/16 7:54,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,26.75 
12,2/5/16 8:16,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),23.70 
13,2/5/16 17:10,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,23.70 
14,2/5/16 17:33,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),20.65 
0,2/8/16 8:57,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),17.60 
14,2/8/16 8:28,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,20.65 
15,2/8/16 8:29,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,20.65 
1,2/8/16 17:05,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,17.60 
2,2/8/16 17:31,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),14.55 
3,2/9/16 7:23,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,14.55 
4,2/9/16 7:44,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),11.50 
5,2/9/16 15:51,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,11.50 
6,2/9/16 16:25,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),8.65 
7,2/10/16 8:29,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,8.65 
8,2/10/16 8:53,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),5.60 
9,2/10/16 17:56,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,5.60 
9,2/10/16 18:25,Sale,Metrorail,Va Sq-GMU,,StoredValue FF,,0.00 ,5.60 
10,2/11/16 7:44,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,5.60 
11,2/11/16 8:05,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),2.55 
12,2/11/16 16:37,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,2.55 
13,2/11/16 17:02,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),(0.50)
14,2/11/16 17:03,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,24.50 
0,2/16/16 8:28,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),21.45 
15,2/16/16 8:06,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,24.50 
1,2/16/16 15:58,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,21.45 
2,2/16/16 16:22,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),18.60 
3,2/17/16 8:24,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,18.60 
4,2/17/16 8:46,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),15.55 
5,2/18/16 8:57,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,15.55 
6,2/18/16 9:22,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),12.50 
7,2/18/16 18:33,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,12.50 
8,2/18/16 18:59,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),9.45 
9,2/19/16 7:39,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,9.45 
10,2/19/16 8:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),6.40 
11,2/19/16 15:48,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,6.40 
12,2/19/16 16:10,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),3.35 
12,2/22/16 7:37,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.35 
13,2/22/16 7:37,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.35 
14,2/22/16 8:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),0.30 
0,2/22/16 17:23,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,25.30 
1,2/22/16 17:48,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),22.25 
15,2/22/16 17:23,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,25.30 
2,2/23/16 7:44,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,22.25 
3,2/23/16 8:10,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),19.20 
4,2/23/16 16:09,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,19.20 
5,2/23/16 16:32,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),16.35 
6,2/24/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,16.35 
7,2/24/16 9:06,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),13.30 
8,2/24/16 18:22,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,13.30 
9,2/24/16 18:50,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),10.45 
10,2/25/16 8:27,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,10.45 
11,2/25/16 8:50,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),7.40 
12,2/25/16 18:00,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,7.40 
13,2/25/16 18:25,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),4.35 
0,2/26/16 7:52,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),26.30 
14,2/26/16 7:31,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,29.35 
15,2/26/16 7:33,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,29.35 
1,2/26/16 16:28,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,26.30 
2,2/26/16 16:34,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,(2.15),24.15 
3,2/26/16 17:44,Entry,Metrorail,Gal Pl-Chntwn N,,StoredValue FF,,0.00 ,24.15 
4,2/26/16 18:01,Exit,Metrorail,Gal Pl-Chntwn N,Tenleytown-AU,StoredValue FF,,(2.80),21.35 
5,2/29/16 16:27,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,21.35 
6,2/29/16 16:50,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),18.30 
7,3/1/16 7:53,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,18.30 
8,3/1/16 8:15,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),15.25 
9,3/1/16 15:49,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,15.25 
10,3/1/16 16:12,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),12.40 
11,3/2/16 7:53,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.40 
12,3/2/16 8:19,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),9.35 
13,3/2/16 16:03,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,9.35 
14,3/2/16 16:24,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),6.30 
0,3/3/16 8:56,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),3.25 
15,3/3/16 8:32,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,6.30 
1,3/3/16 16:50,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,3.25 
2,3/3/16 17:17,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),0.20 
3,3/3/16 17:18,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,25.20 
3,3/7/16 7:54,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,25.20 
4,3/7/16 7:54,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,25.20 
5,3/7/16 8:15,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),22.15 
6,3/7/16 18:25,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,22.15 
7,3/7/16 18:52,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),19.10 
8,3/8/16 7:37,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,19.10 
9,3/8/16 8:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),16.05 
10,3/8/16 19:01,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,16.05 
11,3/8/16 19:24,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(2.35),13.70 
12,3/9/16 8:32,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,13.70 
13,3/9/16 8:56,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),10.65 
0,3/9/16 20:14,Entry,Metrorail,U St-Cardozo W,,StoredValue FF,,0.00 ,8.50 
14,3/9/16 18:29,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,10.65 
15,3/9/16 18:41,Exit,Metrorail,L'Enfant Plza N,U St-Cardozo W,StoredValue FF,,(2.15),8.50 
1,3/9/16 20:44,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,(2.25),6.25 
2,3/10/16 8:01,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,6.25 
3,3/10/16 8:25,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),3.20 
4,3/10/16 18:18,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,3.20 
5,3/10/16 18:39,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),0.15 
5,3/10/16 18:40,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,25.15 
6,3/10/16 18:40,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,25.15 
7,3/11/16 7:42,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,25.15 
8,3/11/16 8:07,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),22.10 
9,3/11/16 13:32,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,22.10 
10,3/11/16 14:04,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(2.35),19.75 
11,3/14/16 8:17,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,19.75 
12,3/14/16 8:41,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),16.70 
13,3/14/16 18:14,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,16.70 
14,3/14/16 18:39,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),13.65 
0,3/15/16 7:58,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),10.60 
15,3/15/16 7:31,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,13.65 
1,3/15/16 15:53,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,10.60 
2,3/15/16 16:16,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,(2.85),7.75 
3,3/17/16 8:47,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,7.75 
4,3/17/16 9:18,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),4.70 
5,3/17/16 18:20,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,4.70 
6,3/17/16 18:44,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),1.65 
7,3/17/16 18:45,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,26.65 
8,3/18/16 7:58,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,26.65 
9,3/18/16 8:20,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),23.60 
